,category_code,crunchbase_url,description,homepage_url,image,name,namespace,offices,overview,permalink
0,analytics,http://www.crunchbase.com/company/fina-technologies,Fina Tackles Big Data,http://www.finatechnologies.com,"{u'available_sizes': [[[150, 95], u'assets/images/resized/0006/7766/67766v2-max-150x150.jpg'], [[222, 142], u'assets/images/resized/0006/7766/67766v2-max-250x250.jpg'], [[222, 142], u'assets/images/resized/0006/7766/67766v2-max-450x450.jpg']], u'attribution': None}",Fina Technologies,company,"[{u'city': u'Cambridge', u'description': u'HQ', u'address1': u'', u'address2': u'', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'MA', u'zip_code': u''}]","Fina Technologies applies highly parallel supercomputing technology combined with cutting edge machine learning techniques to create quantitative trading algorithms and deliver business solutions for a new class of massively data intensive problems.

Fina Technologies, Inc. is a spinoff of Gene Network Sciences (GNS) focused on applying the REFSTM platform and other machine-learning tools to large-data problems in the worlds of finance, insurance, e-commerce, government, and other non-biomedical areas. Fina Technologies applies massively parallel supercomputing technology combined with cutting edge machine learning techniques to create quantitative trading algorithms and deliver business solutions for a new class of massively data intensive applications.

In the field of quantitative trading Fina Technologies partners with sophisticated trading houses and funds to employ robust modeling framework to a variety of trading algorithms from straightforward time series prediction to value estimation and factor models. They claim to achieve strong out-of-sample predictive power by using a data agnostic platform that is robust to the over-fitting problem that plagues most automated techniques.




",fina-technologies
1,software,http://www.crunchbase.com/company/scarab-research,Recommendation & Personalization,http://www.scarabresearch.com,"{u'available_sizes': [[[150, 33], u'assets/images/resized/0009/6131/96131v2-max-150x150.png'], [[250, 55], u'assets/images/resized/0009/6131/96131v2-max-250x250.png'], [[276, 61], u'assets/images/resized/0009/6131/96131v2-max-450x450.png']], u'attribution': None}",Scarab Research,company,[],"Scarab Research provides highly personalized recommendations for customers of e-commerce businesses. Scarab machine-learning technology analyses user behavior to generate individually relevant product offers for consumers to make the most of their online experience. 

Scarab personalization is proven to increase top and bottom line growth by driving product conversion and brand loyalty. 

Scarab's online sales tools (Product Recommender, Display Ad Driver) integrate to any system in a matter of hours so clients typically see actual results in just a few weeks.

Scarab Research was established in 2009 in Budapest, Hungary and today reaches millions of users with personalized recommendations on a daily basis, for a variety of e-commerce businesses on a global scale. Scarab clients include established market leading online retailers and advertisers from Europe and the USA.",scarab-research
2,mobile,http://www.crunchbase.com/company/incoming-media,Fixing mobile video,http://www.incoming-media.com,"{u'available_sizes': [[[150, 84], u'assets/images/resized/0019/9315/199315v2-max-150x150.png'], [[250, 140], u'assets/images/resized/0019/9315/199315v2-max-250x250.png'], [[250, 140], u'assets/images/resized/0019/9315/199315v2-max-450x450.png']], u'attribution': None}",Incoming Media,company,"[{u'city': u'Santa Clara', u'description': u'', u'address1': u'', u'address2': u'', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'CA', u'zip_code': u''}, {u'city': u'Sydney', u'description': u'', u'address1': u'', u'address2': u'', u'longitude': None, u'country_code': u'AUS', u'latitude': None, u'state_code': None, u'zip_code': u''}]","Incoming Media is fixing mobile video.

Mobile video sucks. Streaming doesn't work for subscribers or carriers, and the economics don't work for carriers or content owners.

Incoming is building machine-learning technology, based on patent-pending intellectual property from NICTA (a research lab in Australia, birthplace of software that is deployed in 1.5bn mobile devices), to learn and predict the video content you will watch later.

Videos are sent in advance to your phone or tablet, using low cost Wi-Fi or spare cellular capacity, so you can enjoy flawless playback, anytime, anywhere, always.

This also allows mobile networks to be optimised for cheaper transport of video, helping carriers to overcome their capacity crunch, and fixing the economics of mobile video for both carriers and content owners.",incoming-media
3,web,http://www.crunchbase.com/company/stylepath,,http://stylepath.com/,"{u'available_sizes': [[[150, 73], u'assets/images/resized/0000/1858/1858v1-max-150x150.png'], [[200, 98], u'assets/images/resized/0000/1858/1858v1-max-250x250.png'], [[200, 98], u'assets/images/resized/0000/1858/1858v1-max-450x450.png']], u'attribution': None}",StylePath,company,"[{u'city': u'Lincoln', u'description': None, u'address1': u'1 Hawk Hill Road', u'address2': None, u'longitude': -71.288568, u'country_code': u'USA', u'latitude': 42.402378, u'state_code': u'MA', u'zip_code': u'01773'}]","StylePath is a shopping recommendation engine aimed at fashion, accessories, and home furnishings.  It helps shoppers find items to their taste with a patented machine-learning algorithm, and also offers several other features, such as Window Shopping, which ""feeds"" shoppers a stream of products it thinks they'll find interesting.

Other companies in this space include eBay, with its new Neighborhoods product, and fellow Boston-based start-up [StyleFeeder](http://www.crunchbase.com/company/stylefeeder).",stylepath
4,search,http://www.crunchbase.com/company/yandex,Russian Search Engine,http://www.yandex.ru/,"{u'available_sizes': [[[150, 75], u'assets/images/resized/0001/8947/18947v6-max-150x150.png'], [[250, 125], u'assets/images/resized/0001/8947/18947v6-max-250x250.png'], [[360, 180], u'assets/images/resized/0001/8947/18947v6-max-450x450.png']], u'attribution': None}",Yandex,company,"[{u'city': u'Moscow', u'description': u'World Headquarters', u'address1': u'16, Leo Tolstoy St.', u'address2': u'', u'longitude': None, u'country_code': u'RUS', u'latitude': None, u'state_code': None, u'zip_code': u'119021'}, {u'city': u'Saint Petersburg', u'description': u'Office in St. Petersburg', u'address1': u'44 Sverdlovskaya Naberezhnaya, Business-centre â€œBenoisâ€', u'address2': u'', u'longitude': None, u'country_code': u'RUS', u'latitude': None, u'state_code': None, u'zip_code': u'195027'}, {u'city': u'Ekaterinburg', u'description': u'Office in Ekaterinburg', u'address1': u'10 Khokhryakova St.', u'address2': u'', u'longitude': None, u'country_code': u'RUS', u'latitude': None, u'state_code': None, u'zip_code': u'620014'}, {u'city': u'Novosibirsk', u'description': u'Office in Novosibirsk', u'address1': u'35 Krasnoyarskaya St.', u'address2': u'', u'longitude': None, u'country_code': u'RUS', u'latitude': None, u'state_code': None, u'zip_code': u'630004'}, {u'city': u'Odessa', u'description': u'Office in Odessa', u'address1': u'4-D Shevchenko Ave., Office 37', u'address2': u'', u'longitude': None, u'country_code': u'UKR', u'latitude': None, u'state_code': None, u'zip_code': u'65044'}, {u'city': u'Kiev', u'description': u'Office in Kiev', u'address1': u'4 Lunacharckogo St.', u'address2': u'', u'longitude': None, u'country_code': u'UKR', u'latitude': None, u'state_code': None, u'zip_code': u'02002'}, {u'city': u'Simferopol', u'description': u'Office in Simferopol', u'address1': u'6/13 Geroev Adzhimushkaya St., 2nd Floor', u'address2': u'', u'longitude': None, u'country_code': u'UKR', u'latitude': None, u'state_code': None, u'zip_code': u'95011'}, {u'city': u'Palo Alto', u'description': u'Office in California', u'address1': u'299 S. California Ave, Suite 200, Palo Alto', u'address2': u'', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'CA', u'zip_code': u'CA 94306'}, {u'city': u'Luzern', u'description': u'Office in Europe', u'address1': u'Citybay Business Center, Werftestrasse 4', u'address2': u'', u'longitude': 8.3140814, u'country_code': u'CHE', u'latitude': 47.0419512, u'state_code': None, u'zip_code': u'CH 6005'}]","Yandex is an internet technologies company that operates in Russia, CIS and Turkey. It is the largest Russian and one of the world's largest internet search engine. Yandex is an acronym for the phrase Yet Another Indexer.

As of June 2013, Yandex had 61.6% of the Russian search market (source: LiveInternet.ru).

Yandex's mission is to give the answer to the user anytime and anywhere. Company provides its services for desktop and mobile users and develops embedded solutions as well.

The company specializes on highly-targeted sophisticated web search and information retrieval services based on world-class technologies like a proprietary machine-learning method MatrixNet.

Yandex provides localized services for its users, as well as enables them to search for websites in other languages. 

In addition to web search the company offers dozens of free online services, granting access to extensive local, national and international information. The services include maps; traffic jams information; photo and video hosting; cloud storage; news service; spam-free email and many others.

In 2012, Yandex's revenue totaled to $947.1 million while net income jumped to $288.7 million. Contextual ads accounted for 87% of the company's revenues as of Q4 2012.",yandex
5,software,http://www.crunchbase.com/company/preferred-infrastructure,,http://preferred.jp/,"{u'available_sizes': [[[150, 35], u'assets/images/resized/0004/0633/40633v1-max-150x150.png'], [[195, 46], u'assets/images/resized/0004/0633/40633v1-max-250x250.png'], [[195, 46], u'assets/images/resized/0004/0633/40633v1-max-450x450.png']], u'attribution': None}",Preferred Infrastructure,company,[],"The search engine company in Japan. They have strong knowledge in Machine-Learning, Natural Language Processing, Distrubuted System.",preferred-infrastructure
6,search,http://www.crunchbase.com/company/workdigital,Cloud-Based Data Services Co,http://thesocialcv.com,"{u'available_sizes': [[[150, 150], u'assets/images/resized/0007/7258/77258v3-max-150x150.png'], [[250, 250], u'assets/images/resized/0007/7258/77258v3-max-250x250.png'], [[450, 450], u'assets/images/resized/0007/7258/77258v3-max-450x450.png']], u'attribution': None}",WorkDigital,company,"[{u'city': u'London', u'description': u'', u'address1': u'', u'address2': u'', u'longitude': None, u'country_code': u'GBR', u'latitude': None, u'state_code': None, u'zip_code': u''}]","WorkDigital Ltd with products including: http://crmgraph.com and http://thesocialCV.com , is a cloud-based data services company that builds and powers enterprise CRM products making use of proprietary natural language processing algorithms. Machine-learned semantic and metadata layer applied across more than 30 billion records.",workdigital
7,mobile,http://www.crunchbase.com/company/appbackr,Market exchange for apps,http://www.appbackr.com/,"{u'available_sizes': [[[150, 39], u'assets/images/resized/0009/4625/94625v5-max-150x150.png'], [[201, 53], u'assets/images/resized/0009/4625/94625v5-max-250x250.png'], [[201, 53], u'assets/images/resized/0009/4625/94625v5-max-450x450.png']], u'attribution': None}",appbackr,company,"[{u'city': u'Palo Alto', u'description': u'Headquarters', u'address1': u'261 Hamilton Avenue', u'address2': u'Suite 311', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'CA', u'zip_code': u'94301'}]","appbackr Xchange is the first Market Xchange for mobile apps, a clearing mechanism to provide distribution of great apps to stores, platforms and digital store fronts.

App developers use Xchange to create CPI offers to stores and receive PPI from stores. Generally, CPI campaigns on appbackr are more affordable than ad networks. 

appbackr’s smartApps algorithm enables the discovery of the most promising new apps and sleeper apps at the tipping point of success with predictive analytics. smartApps has insight into what does and doesn’t convert to traffic and sales.

The algorithm identifies the apps that will be most successful for a specific market and distributes apps to the most appropriate retail channels and target audiences based on that data. 

 The appbackr appscore gives every Android app a score from 1.0-10.0. The score is based on data gather from the Google Play store:
>customer reviews: sentiment analysis, addictive reviews, crash reviews
>sales
>marketability
 >Crash Index by Device
 >Rank
 >Week-over-week sales progress

The appscore uses a machine-learning model, evolving and adapting to changing conditions, exploiting hidden correlations in the large and complex mobile app market. ",appbackr
8,web,http://www.crunchbase.com/company/oony,Deals explorer,http://oony.com,"{u'available_sizes': [[[150, 52], u'assets/images/resized/0012/9541/129541v5-max-150x150.png'], [[250, 86], u'assets/images/resized/0012/9541/129541v5-max-250x250.png'], [[450, 156], u'assets/images/resized/0012/9541/129541v5-max-450x450.png']], u'attribution': None}",Oony,company,"[{u'city': u'Buenos Aires', u'description': u'Buenos Aires HQ', u'address1': u'Ortiz de Ocampo 3302', u'address2': u'', u'longitude': None, u'country_code': u'ARG', u'latitude': None, u'state_code': None, u'zip_code': u'C1425DSU'}]","Oony is the best way to find deals in your city. 

Oony aggregates deals from different sources and sorts them out to find the best fit for each user using your current location among a mix of signals like users personal interests, memberships and credit cards, time and day, and a machine-learning algorithm based on the use of the service.

Oony is available on Android and Iphone devices by native applications, and other devices using a webapp. The service lets you know by email or IM (chat) when there are interesting deals available for you.",oony
9,web,http://www.crunchbase.com/company/bright-media-corporation,Candidate Scoring Algorithm,http://www.bright.com,"{u'available_sizes': [[[150, 33], u'assets/images/resized/0014/9813/149813v4-max-150x150.png'], [[250, 56], u'assets/images/resized/0014/9813/149813v4-max-250x250.png'], [[450, 101], u'assets/images/resized/0014/9813/149813v4-max-450x450.png']], u'attribution': None}",Bright Media Corporation,company,"[{u'city': u'San Francisco', u'description': u'HQ', u'address1': u'690 5th Street', u'address2': u'', u'longitude': None, u'country_code': u'USA', u'latitude': None, u'state_code': u'CA', u'zip_code': u'94107'}]","We believe that finding the right job should be easier than splitting an atom. Steeped in data science, Bright eliminates the noise in the hiring process by efficiently connecting job seekers to their best opportunities, and employers to their top prospects. We unlock the power of artificial intelligence to identify and establish a one-to-one signal between candidates and successful outcomes. Bright is not just an innovation in online job search — it’s a mission to move the labor markets faster.

Our machine-learning algorithm, the Bright Score, examines thousands of data points to find the best fit between job seekers and job openings. By reducing time to hire, Bright is changing the way the world thinks about the hiring process.  ",bright-media-corporation
